run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cturb,geko_cjet
alpha1.0_Re2800_geko_default,baseline,2.968347314,31.3350,true,1.75,0.5,0,2,1
alpha1.0_Re2800_Csep1.65_Cnw0.5_Cmix0_Cjet1_Cturb2,optimizer,2.905222764,31.9891,true,1.65,0.5,0,2,1
alpha1.0_Re2800_Csep1.85_Cnw0.5_Cmix0_Cjet1_Cturb2,optimizer,3.056521095,34.1063,true,1.85,0.5,0,2,1
alpha1.0_Re2800_Csep1.75_Cnw0.6_Cmix0_Cjet1_Cturb2,optimizer,3.013542532,34.4341,true,1.75,0.6,0,2,1
alpha1.0_Re2800_Csep1.75_Cnw0.5_Cmix0.1_Cjet1_Cturb2,optimizer,2.904247506,30.4642,true,1.75,0.5,0.1,2,1
alpha1.0_Re2800_Csep1.75_Cnw0.5_Cmix0_Cjet1_Cturb2.1,optimizer,3.01966145,33.8451,true,1.75,0.5,0,2.1,1
alpha1.0_Re2800_Csep1.75_Cnw0.5_Cmix0_Cjet1.1_Cturb2,optimizer,2.998126423,34.6667,true,1.75,0.5,0,2,1.1
alpha1.0_Re2800_Csep1.634_Cnw0.536_Cmix0.036_Cjet1.036_Cturb2.036,optimizer,2.913907098,34.9495,true,1.634,0.536,0.036,2.036,1.036
alpha1.0_Re2800_Csep1.6722_Cnw0.549_Cmix0.049_Cjet1.049_Cturb1.933,optimizer,2.901587582,31.9952,true,1.67224,0.54896,0.04896,1.93296,1.04896
alpha1.0_Re2800_Csep1.655_Cnw0.5598_Cmix0.0598_Cjet1.0598_Cturb1.8958,optimizer,2.878343581,31.6755,true,1.65496,0.55984,0.05984,1.89584,1.05984
alpha1.0_Re2800_Csep1.638_Cnw0.4545_Cmix0.0705_Cjet1.0705_Cturb1.9755,optimizer,2.8963915,30.7950,true,1.6380256,0.4545024,0.0705024,1.9754624,1.0705024
alpha1.0_Re2800_Csep1.5977_Cnw0.5181_Cmix0.0959_Cjet0.9799_Cturb1.9666,optimizer,2.81329659,30.4217,true,1.597714816,0.518123264,0.095883264,1.966628864,0.979883264
alpha1.0_Re2800_Csep1.5639_Cnw0.5222_Cmix0.1172_Cjet0.9532_Cturb1.9592,optimizer,2.785255096,32.5565,true,1.563873664,0.522150656,0.117190656,1.959213056,0.953190656
alpha1.0_Re2800_Csep1.6653_Cnw0.4843_Cmix0.0963_Cjet1.0013_Cturb1.9102,optimizer,2.836500052,30.7422,true,1.665269335,0.4843375002,0.09631190016,1.910185564,1.0012719
alpha1.0_Re2800_Csep1.658_Cnw0.5075_Cmix0.1598_Cjet1.0305_Cturb1.9067,optimizer,2.798685157,30.7461,true,1.657966296,0.5074990002,0.1597841842,1.906652367,1.030529784
alpha1.0_Re2800_Csep1.5448_Cnw0.5102_Cmix0.1013_Cjet1.0415_Cturb1.873,optimizer,2.74357148,30.5214,true,1.544834162,0.5101986403,0.1013064905,1.873047219,1.041520507
alpha1.0_Re2800_Csep1.4992_Cnw0.5125_Cmix0.1016_Cjet1.0507_Cturb1.8448,optimizer,2.702726821,31.0346,true,1.499241754,0.5124650048,0.1015968218,1.84483549,1.050747286
alpha1.0_Re2800_Csep1.5845_Cnw0.5675_Cmix0.1361_Cjet0.978_Cturb1.8457,optimizer,2.758569533,30.5205,true,1.584451497,0.567463258,0.1360985624,1.845651612,0.9780067454
alpha1.0_Re2800_Csep1.5455_Cnw0.4859_Cmix0.1721_Cjet0.9571_Cturb1.8913,optimizer,2.723156966,29.7238,true,1.545520916,0.4859375509,0.1720815648,1.891281712,0.9570766938
alpha1.0_Re2800_Csep1.4942_Cnw0.5469_Cmix0.1702_Cjet0.988_Cturb1.873,optimizer,2.678946189,29.9427,true,1.494164018,0.5469155691,0.170181124,1.872999874,0.9880208993
alpha1.0_Re2800_Csep1.4561_Cnw0.5608_Cmix0.1866_Cjet0.9851_Cturb1.8647,optimizer,2.645610752,30.4451,true,1.456140614,0.5608218066,0.186596507,1.864736388,0.9850762325
alpha1.0_Re2800_Csep1.4273_Cnw0.5476_Cmix0.1291_Cjet0.9483_Cturb1.8607,optimizer,2.648918252,31.0833,true,1.427349204,0.5475825793,0.1290557329,1.860736679,0.9482513135
alpha1.0_Re2800_Csep1.4535_Cnw0.545_Cmix0.1674_Cjet1.0083_Cturb1.7832,optimizer,2.610658345,32.8204,true,1.453474504,0.5450167471,0.1674019832,1.783236633,1.008344453
alpha1.0_Re2800_Csep1.4289_Cnw0.5501_Cmix0.1786_Cjet1.0206_Cturb1.7441,optimizer,2.574678018,33.1244,true,1.428941357,0.5500981006,0.1785600559,1.744130761,1.020600852
alpha1.0_Re2800_Csep1.381_Cnw0.5025_Cmix0.1676_Cjet1.0038_Cturb1.8375,optimizer,2.558351086,29.4550,true,1.381028586,0.5025152088,0.1675617958,1.837538281,1.00382546
alpha1.0_Re2800_Csep1.3358_Cnw0.4881_Cmix0.1746_Cjet1.0096_Cturb1.8357,optimizer,2.52435666,29.3267,true,1.335823495,0.488082309,0.1745536255,1.835735319,1.009562952
alpha1.0_Re2800_Csep1.3367_Cnw0.5685_Cmix0.1397_Cjet1.0395_Cturb1.781,optimizer,2.541081393,30.5785,true,1.336681979,0.5685078874,0.1396653357,1.7810375,1.039464554
alpha1.0_Re2800_Csep1.3152_Cnw0.5675_Cmix0.2098_Cjet0.9605_Cturb1.7952,optimizer,2.499879517,29.3416,true,1.31518379,0.567461362,0.2097577951,1.7952272,0.9604662965
alpha1.0_Re2800_Csep1.2743_Cnw0.5797_Cmix0.2338_Cjet0.9404_Cturb1.7842,optimizer,2.460571814,29.3837,true,1.274282021,0.5796827747,0.233793567,1.784203136,0.9404038545
alpha1.0_Re2800_Csep1.3176_Cnw0.5509_Cmix0.2255_Cjet1.0396_Cturb1.755,optimizer,2.475936044,29.3380,true,1.317593644,0.5509233727,0.2254962865,1.754954174,1.039637989
alpha1.0_Re2800_Csep1.2447_Cnw0.5368_Cmix0.1935_Cjet1.0298_Cturb1.7122,optimizer,2.400914573,30.6812,true,1.244683607,0.5367685547,0.1934675878,1.71223281,1.029820286
alpha1.0_Re2800_Csep1.1977_Cnw0.5314_Cmix0.195_Cjet1.0398_Cturb1.6783,optimizer,2.348044864,29.8386,true,1.197693161,0.5314233876,0.1949944946,1.678343126,1.039763409
alpha1.0_Re2800_Csep1.1832_Cnw0.5386_Cmix0.2058_Cjet1.0083_Cturb1.785,optimizer,2.360201563,30.1428,true,1.183193663,0.5386246228,0.2058131466,1.785033763,1.008299111
alpha1.0_Re2800_Csep1.2017_Cnw0.5131_Cmix0.2607_Cjet0.982_Cturb1.7569,optimizer,2.350735353,29.5985,true,1.201745371,0.5131388182,0.2607421347,1.756947027,0.9819885908
alpha1.0_Re2800_Csep1.1542_Cnw0.5865_Cmix0.2639_Cjet0.996_Cturb1.6848,optimizer,2.301224624,29.4180,true,1.154164034,0.5864996242,0.2638593662,1.684824986,0.9959831026
alpha1.0_Re2800_Csep1.1138_Cnw0.6084_Cmix0.2837_Cjet0.993_Cturb1.6513,optimizer,2.260363554,29.7498,true,1.113795265,0.6083701387,0.2837050863,1.651289356,0.9929653584
alpha1.0_Re2800_Csep1.0954_Cnw0.5569_Cmix0.2441_Cjet0.9551_Cturb1.7121,optimizer,2.262717093,31.8407,true,1.095380498,0.5569076089,0.2440604053,1.712130568,0.9551209255
