run_id,trial_role,score,cost_seconds,converged,geko_csep
alpha1.0_Re2800_geko_default,baseline,2.978138041,23.9190,true,1.75
alpha1.0_Re2800_Csep1.5185,optimizer,2.957569621,23.1369,true,1.518461894
alpha1.0_Re2800_Csep2.4185,optimizer,3.970038415,24.4459,true,2.418461894
alpha1.0_Re2800_Csep1.0685,optimizer,2.613959616,22.0830,true,1.068461894
alpha1.0_Re2800_Csep1.9685,optimizer,3.322027648,24.0208,true,1.968461894
alpha1.0_Re2800_Csep2.1935,optimizer,3.654334403,23.9139,true,2.193461894
alpha1.0_Re2800_Csep1.2935,optimizer,2.838246112,22.8342,true,1.293461894
alpha1.0_Re2800_Csep0.8435,optimizer,2.486199819,21.3896,true,0.843461894
alpha1.0_Re2800_Csep1.7435,optimizer,2.978389891,23.2162,true,1.743461894
alpha1.0_Re2800_Csep0.7,optimizer,2.79151938,22.9864,true,0.7
alpha1.0_Re2800_Csep0.905,optimizer,2.461566925,21.5929,true,0.9049718906
alpha1.0_Re2800_Csep0.9466,optimizer,2.48054702,22.5644,true,0.9465541017
alpha1.0_Re2800_Csep0.8803,optimizer,2.458268884,21.6236,true,0.8803199477
alpha1.0_Re2800_Csep1.1747,optimizer,2.735210787,22.5445,true,1.174689525
alpha1.0_Re2800_Csep1.6328,optimizer,2.977241406,23.0642,true,1.632844011
alpha1.0_Re2800_Csep0.8873,optimizer,2.457723387,21.7328,true,0.8872993847
alpha1.0_Re2800_Csep0.8865,optimizer,2.45769471,22.3704,true,0.886458648
alpha1.0_Re2800_Csep0.8875,optimizer,2.457708087,21.7074,true,0.8875253399
alpha1.0_Re2800_Csep0.8889,optimizer,2.458579158,22.1444,true,0.8888716963
alpha1.0_Re2800_Csep1.4044,optimizer,2.910213973,22.2432,true,1.404421082
alpha1.0_Re2800_Csep2.5,optimizer,4.078773558,24.5944,true,2.5
