run_id,trial_role,score,cost_seconds,converged,geko_csep
alpha1.0_Re2800_geko_default,baseline,2.978138041,17.1744,true,1.75
alpha1.0_Re2800_Csep1.4382,optimizer,2.928782357,16.8163,true,1.438187126
alpha1.0_Re2800_Csep2.3382,optimizer,3.858097893,18.3017,true,2.338187126
alpha1.0_Re2800_Csep0.9882,optimizer,2.51866683,16.4161,true,0.9881871259
alpha1.0_Re2800_Csep1.8882,optimizer,3.199109858,17.0906,true,1.888187126
alpha1.0_Re2800_Csep2.1132,optimizer,3.538770281,18.1996,true,2.113187126
alpha1.0_Re2800_Csep0.9186,optimizer,2.459299769,16.1590,true,0.9186488148
alpha1.0_Re2800_Csep0.7,optimizer,2.79151938,16.2363,true,0.7
alpha1.0_Re2800_Csep1.0785,optimizer,2.626810292,16.4088,true,1.078460852
alpha1.0_Re2800_Csep0.8897,optimizer,2.458572801,16.8226,true,0.8897453467
alpha1.0_Re2800_Csep0.8549,optimizer,2.476663117,15.8516,true,0.8549279372
alpha1.0_Re2800_Csep0.9437,optimizer,2.477952127,16.4503,true,0.9437453467
alpha1.0_Re2800_Csep0.8736,optimizer,2.460344546,15.9850,true,0.8735959082
alpha1.0_Re2800_Csep0.9276,optimizer,2.464972479,16.1111,true,0.9275959082
alpha1.0_Re2800_Csep0.8697,optimizer,2.461824138,16.6674,true,0.869739298
alpha1.0_Re2800_Csep0.9276,optimizer,2.464972479,16.1228,true,0.9275959082
alpha1.0_Re2800_Csep0.8697,optimizer,2.461824138,16.4421,true,0.869739298
alpha1.0_Re2800_Csep0.9276,optimizer,2.464972479,16.2385,true,0.9275959082
alpha1.0_Re2800_Csep0.8697,optimizer,2.461824138,16.5361,true,0.869739298
alpha1.0_Re2800_Csep0.9276,optimizer,2.464972479,16.4184,true,0.9275959082
alpha1.0_Re2800_Csep0.8697,optimizer,2.461824138,15.9063,true,0.869739298
