run_id,trial_role,score,cost_seconds,converged,geko_csep
alpha1.0_Re2800_geko_default,baseline,2.978138041,17.0688,true,1.75
alpha1.0_Re2800_Csep1.4382,optimizer,2.928782357,16.6750,true,1.438187126
alpha1.0_Re2800_Csep2.3382,optimizer,3.858097893,22.3084,true,2.338187126
alpha1.0_Re2800_Csep0.9882,optimizer,2.51866683,16.0636,true,0.9881871259
alpha1.0_Re2800_Csep1.8882,optimizer,3.199109858,16.6405,true,1.888187126
alpha1.0_Re2800_Csep2.1132,optimizer,3.538770281,17.4480,true,2.113187126
alpha1.0_Re2800_Csep0.9186,optimizer,2.459299769,15.7257,true,0.9186488148
alpha1.0_Re2800_Csep0.7,optimizer,2.79151938,15.9197,true,0.7
alpha1.0_Re2800_Csep1.0785,optimizer,2.626810292,17.8538,true,1.078460852
alpha1.0_Re2800_Csep0.8897,optimizer,2.458572801,16.9057,true,0.8897453467
alpha1.0_Re2800_Csep0.8549,optimizer,2.476663117,16.4312,true,0.8549279372
alpha1.0_Re2800_Csep0.7397,optimizer,2.678029521,16.2813,true,0.7397453467
alpha1.0_Re2800_Csep1.0397,optimizer,2.58424049,16.6080,true,1.039745347
alpha1.0_Re2800_Csep1.2797,optimizer,2.826805954,16.9532,true,1.279745347
alpha1.0_Re2800_Csep0.8897,optimizer,2.458572801,16.7736,true,0.8897453467
alpha1.0_Re2800_Csep0.7697,optimizer,2.608613013,16.7720,true,0.7697453467
alpha1.0_Re2800_Csep0.9647,optimizer,2.49832094,17.3936,true,0.9647453467
alpha1.0_Re2800_Csep0.8297,optimizer,2.501189133,16.4014,true,0.8297453467
alpha1.0_Re2800_Csep0.9272,optimizer,2.464733065,16.2752,true,0.9272453467
alpha1.0_Re2800_Csep0.8597,optimizer,2.473627575,16.8520,true,0.8597453467
alpha1.0_Re2800_Csep0.9085,optimizer,2.462563988,16.7220,true,0.9084953467
