run_id,trial_role,score,cost_seconds,converged,geko_csep
alpha1.0_Re2800_geko_default,baseline,2.978138041,25.2353,true,1.75
alpha1.0_Re2800_Csep1.75,optimizer,2.978138041,21.9559,true,1.75
alpha1.0_Re2800_Csep1.84,optimizer,3.12235253,25.0825,true,1.84
alpha1.0_Re2800_Csep1.6298,optimizer,2.976829578,24.9685,true,1.629821259
alpha1.0_Re2800_Csep1.7198,optimizer,2.978858683,24.9943,true,1.719821259
alpha1.0_Re2800_Csep1.6281,optimizer,2.976608974,25.0895,true,1.628130339
alpha1.0_Re2800_Csep1.7181,optimizer,2.979216896,21.9706,true,1.718130339
alpha1.0_Re2800_Csep1.626,optimizer,2.976298749,25.2928,true,1.62595707
alpha1.0_Re2800_Csep1.716,optimizer,2.979215879,17.1170,true,1.71595707
alpha1.0_Re2800_Csep1.6235,optimizer,2.975918351,23.8160,true,1.623526129
alpha1.0_Re2800_Csep1.7135,optimizer,2.979202987,18.8017,true,1.713526129
alpha1.0_Re2800_Csep1.6208,optimizer,2.975485081,17.1877,true,1.620788933
alpha1.0_Re2800_Csep1.7108,optimizer,2.979180213,22.4284,true,1.710788933
alpha1.0_Re2800_Csep1.6177,optimizer,2.97469513,16.7415,true,1.617709657
alpha1.0_Re2800_Csep1.7077,optimizer,2.979152033,17.4782,true,1.707709657
alpha1.0_Re2800_Csep1.614,optimizer,2.974095366,16.7213,true,1.613995571
alpha1.0_Re2800_Csep1.704,optimizer,2.979062615,17.2279,true,1.703995571
alpha1.0_Re2800_Csep1.6099,optimizer,2.973633932,19.8284,true,1.609856197
alpha1.0_Re2800_Csep1.6999,optimizer,2.978950336,22.8986,true,1.699856197
alpha1.0_Re2800_Csep1.6054,optimizer,2.972614877,16.4703,true,1.60542586
alpha1.0_Re2800_Csep1.6954,optimizer,2.978668997,18.9786,true,1.69542586
