run_id,trial_role,score,cost_seconds,converged,geko_csep
alpha1.0_Re2800_geko_default,baseline,2.978138041,16.5288,true,1.75
alpha1.0_Re2800_Csep1.75,optimizer,2.978138041,16.8360,true,1.75
alpha1.0_Re2800_Csep1.84,optimizer,3.12235253,16.6412,true,1.84
alpha1.0_Re2800_Csep1.6298,optimizer,2.976829578,16.7842,true,1.629821259
alpha1.0_Re2800_Csep1.7198,optimizer,2.978858683,16.6487,true,1.719821259
alpha1.0_Re2800_Csep1.6281,optimizer,2.976608974,16.4366,true,1.628130339
alpha1.0_Re2800_Csep1.7181,optimizer,2.979216896,16.7649,true,1.718130339
alpha1.0_Re2800_Csep1.626,optimizer,2.976298749,16.4130,true,1.62595707
alpha1.0_Re2800_Csep1.716,optimizer,2.979215879,17.2051,true,1.71595707
alpha1.0_Re2800_Csep1.6235,optimizer,2.975918351,16.2706,true,1.623526129
alpha1.0_Re2800_Csep1.534,optimizer,2.95883145,16.4993,true,1.533973785
alpha1.0_Re2800_Csep1.4464,optimizer,2.932838724,16.0364,true,1.446377098
alpha1.0_Re2800_Csep1.3809,optimizer,2.896529535,16.3885,true,1.380856522
alpha1.0_Re2800_Csep1.3329,optimizer,2.868610708,16.2268,true,1.332940844
alpha1.0_Re2800_Csep1.2853,optimizer,2.83197205,16.5093,true,1.285347228
alpha1.0_Re2800_Csep0.9789,optimizer,2.515156681,15.5425,true,0.9789086929
alpha1.0_Re2800_Csep0.7,optimizer,2.79151938,15.1551,true,0.7
alpha1.0_Re2800_Csep0.9411,optimizer,2.475693963,15.8498,true,0.9411471684
alpha1.0_Re2800_Csep0.869,optimizer,2.462156068,15.3680,true,0.8689542844
alpha1.0_Re2800_Csep2.5,optimizer,4.078773558,17.8010,true,2.5
alpha1.0_Re2800_Csep0.8959,optimizer,2.459178262,15.2670,true,0.8959445115
