run_id,trial_role,score,cost_seconds,converged,geko_csep
alpha1.0_Re2800_geko_default,baseline,2.978138041,51.6827,true,1.75
alpha1.0_Re2800_Csep1.5,optimizer,2.951612406,67.5290,true,1.5
alpha1.0_Re2800_Csep2,optimizer,3.370634386,57.9916,true,2
alpha1.0_Re2800_Csep1.1,optimizer,2.654290298,55.2324,true,1.1
alpha1.0_Re2800_Csep0.9,optimizer,2.459980751,50.8336,true,0.9
alpha1.0_Re2800_Csep0.42,optimizer,4.182103452,45.5651,true,0.42
alpha1.0_Re2800_Csep1.2,optimizer,2.757161718,56.1174,true,1.2
alpha1.0_Re2800_Csep0.66,optimizer,2.947251497,54.0826,true,0.66
alpha1.0_Re2800_Csep1.05,optimizer,2.591386422,57.1228,true,1.05
alpha1.0_Re2800_Csep0.78,optimizer,2.586557569,59.3635,true,0.78
alpha1.0_Re2800_Csep0.84,optimizer,2.489287496,49.1844,true,0.84
alpha1.0_Re2800_Csep0.948,optimizer,2.481872247,401.5523,true,0.948
alpha1.0_Re2800_Csep0.924,optimizer,2.46248453,15.7488,true,0.924
alpha1.0_Re2800_Csep0.8808,optimizer,2.458153022,15.9445,true,0.8808
alpha1.0_Re2800_Csep0.8712,optimizer,2.461303089,20.7965,true,0.8712
alpha1.0_Re2800_Csep0.8654,optimizer,2.46399244,22.7657,true,0.86544
alpha1.0_Re2800_Csep0.8904,optimizer,2.458610542,15.6143,true,0.8904
alpha1.0_Re2800_Csep0.8731,optimizer,2.460475541,22.9663,true,0.87312
alpha1.0_Re2800_Csep0.8856,optimizer,2.457727885,19.0302,true,0.8856
alpha1.0_Re2800_Csep0.8894,optimizer,2.458580104,15.3984,true,0.88944
alpha1.0_Re2800_Csep0.8832,optimizer,2.45787267,15.6831,true,0.8832
