run_id,trial_role,score,cost_seconds,converged,geko_csep
alpha1.0_Re2800_geko_default,baseline,2.978138041,16.2862,true,1.75
alpha1.0_Re2800_Csep1.6213,optimizer,2.97556308,16.4029,true,1.621278924
alpha1.0_Re2800_Csep2.4108,optimizer,3.959883061,17.1828,true,2.410834653
alpha1.0_Re2800_Csep0.9595,optimizer,2.493116328,15.3243,true,0.9594873029
alpha1.0_Re2800_Csep2.4076,optimizer,3.955364415,17.3064,true,2.407569005
alpha1.0_Re2800_Csep1.472,optimizer,2.940297082,15.9632,true,1.47198812
alpha1.0_Re2800_Csep2.0508,optimizer,3.445112328,16.9462,true,2.050834653
alpha1.0_Re2800_Csep1.1718,optimizer,2.727062289,15.9875,true,1.171838584
alpha1.0_Re2800_Csep2.0476,optimizer,3.440168288,17.2227,true,2.047569005
alpha1.0_Re2800_Csep1.112,optimizer,2.669427454,15.6990,true,1.11198812
alpha1.0_Re2800_Csep1.6908,optimizer,2.978576536,16.6430,true,1.690834653
alpha1.0_Re2800_Csep1.0081,optimizer,2.542599925,15.4663,true,1.008081739
alpha1.0_Re2800_Csep1.6876,optimizer,2.978497999,16.6220,true,1.687569005
alpha1.0_Re2800_Csep0.752,optimizer,2.648161573,15.1322,true,0.75198812
alpha1.0_Re2800_Csep1.3308,optimizer,2.867049474,15.7367,true,1.330834653
alpha1.0_Re2800_Csep0.8192,optimizer,2.513412885,15.7277,true,0.8192301315
alpha1.0_Re2800_Csep1.3276,optimizer,2.864633083,15.9217,true,1.327569005
alpha1.0_Re2800_Csep0.8047,optimizer,2.533558794,15.8753,true,0.8047297874
alpha1.0_Re2800_Csep0.9708,optimizer,2.505138531,15.4787,true,0.9708346534
alpha1.0_Re2800_Csep0.8396,optimizer,2.489634511,15.1630,true,0.8396204672
alpha1.0_Re2800_Csep1.1041,optimizer,2.659825722,15.9173,true,1.104144396
