re_h,optimized_norm,parameter_set,experiment_id,best_evaluation,run_id,metadata_field_error,metadata_gedcp_score,field_error_l1,gedcp_score_l1,field_error_l2,gedcp_score_l2,coefficient_preference,geko_csep,geko_cnw,geko_cmix,geko_cjet,geko_cturb
2000,l1,2_param,ffs_re2000_csep_cnw_final_mae,23,ffs_Reh2000_Csep1.3121_Cnw0.5043,0.24483472418473287,0.2606723018,0.24483472417164878,0.26067230178606954,0.5702078312671633,0.607092757678635,0.12937362270000002,1.312147963,0.5042730407,0,1,2
2000,l1,all_param,ffs_re2000_all_param_mae_final,97,ffs_Reh2000_Csep2.1658_Cnw0.583_Cmix0.0683_Cjet0_Cturb1.5,0.25743572583319374,0.3017635598,0.2574357258535778,0.3017635598238941,0.6167844459326169,0.7229885029807253,0.3443798161528572,2.165788509,0.5830026659,0.06830031525,0,1.5
2000,l2,2_param,ffs_re2000_csep_cnw_final,40,ffs_Reh2000_Csep1.2094_Cnw0.4968,0.5595087796405634,0.6036259868,0.24020747166255135,0.25914780499456647,0.559508779670757,0.6036259868325743,0.15769978511428576,1.209424742,0.4967502886,0,1,2
2000,l2,all_param,ffs_re2000_all_param_final,97,ffs_Reh2000_Csep0.9744_Cnw0.455_Cmix-0.1301_Cjet1.0104_Cturb2.1417,0.5417670604644748,0.5821029278,0.2367729940340417,0.2544013158220151,0.5417670604497742,0.5821029277842049,0.14890483486,0.9743502307,0.4550226866,-0.1301386189,1.010371245,2.141662488
3000,l1,2_param,ffs_re3000_csep_cnw_final_mae,46,ffs_Reh3000_Csep0.8327_Cnw0.4999,0.23866681532180473,0.2699504262,0.23866681529371764,0.26995042616823134,0.524224715230954,0.5929382562479804,0.2621530005,0.8327430447,0.4999204153,0,1,2
3000,l1,all_param,ffs_re3000_all_param_mae_final,71,ffs_Reh3000_Csep1.3416_Cnw0.5079_Cmix0.8955_Cjet1.2_Cturb1.5,0.20530339694809985,0.2380401233,0.2053033969667419,0.23804012332161464,0.4199251499452192,0.4868844644348498,0.31891071300857143,1.341592824,0.5078618901,0.8954542557,1.2,1.5
3000,l2,2_param,ffs_re3000_csep_cnw_final,43,ffs_Reh3000_Csep0.8411_Cnw0.5008,0.5246409509900606,0.592961879,0.2388650778000731,0.26997108230404965,0.5246409509897111,0.592961878999605,0.26044832329999995,0.8411421844,0.5007746617,0,1,2
3000,l2,all_param,ffs_re3000_all_param_final,94,ffs_Reh3000_Csep1.4807_Cnw0.5081_Cmix0.9028_Cjet0.977_Cturb1.5,0.4207667380080836,0.4773958163,0.2073271897501176,0.2352304116539765,0.42076673799699893,0.4773958162874235,0.2691708881742857,1.480722837,0.5080816703,0.9027782623,0.9769598266,1.5
4000,l1,2_param,ffs_re4000_csep_cnw_final_mae,35,ffs_Reh4000_Csep0.8739_Cnw0.4804,0.22041152000969044,0.2501625626,0.22041152000343067,0.2501625625928953,0.46959992664396094,0.5329863023532546,0.26995905285714283,0.8738759846,0.4803620944,0,1,2
4000,l1,all_param,ffs_re4000_all_param_mae_final,72,ffs_Reh4000_Csep1.4336_Cnw0.5089_Cmix1_Cjet0.9853_Cturb1.5,0.19278292083548346,0.2209914631,0.19278292086340107,0.2209914631320026,0.38531717102133795,0.4416978693575507,0.29264565701428574,1.433600454,0.5088764059,1,0.9853242673,1.5
4000,l2,2_param,ffs_re4000_csep_cnw_final,31,ffs_Reh4000_Csep0.849_Cnw0.4818,0.4668300759384395,0.5311683372,0.21929177421620202,0.24951444449654117,0.46683007596523596,0.5311683372304895,0.27563888694285715,0.8489768163,0.4817963084,0,1,2
4000,l2,all_param,ffs_re4000_all_param_final,75,ffs_Reh4000_Csep1.3805_Cnw0.4802_Cmix1_Cjet0.9786_Cturb1.5,0.3850653237610411,0.4436799429,0.19215768389548818,0.22140791433988963,0.38506532372607255,0.4436799428597086,0.30443987304000003,1.380502438,0.4801608099,1,0.978620479,1.5
6000,l1,2_param,ffs_re6000_csep_cnw_final_mae,39,ffs_Reh6000_Csep0.9551_Cnw0.5015,0.18692837192664938,0.2082990415,0.18692837189328182,0.2082990414628177,0.4097025251298376,0.4565419492240722,0.22865089288571433,0.9551223119,0.501542982,0,1,2
6000,l1,all_param,ffs_re6000_all_param_mae_final,76,ffs_Reh6000_Csep1.635_Cnw0.5022_Cmix0.9004_Cjet0.9991_Cturb1.5,0.16134807791976954,0.1810558287,0.1613480779623192,0.18105582874774687,0.33687599785359745,0.3780234865323373,0.2442886340428571,1.635019173,0.5021783069,0.9004413224,0.9990580957,1.5
6000,l2,2_param,ffs_re6000_csep_cnw_final,48,ffs_Reh6000_Csep0.9356_Cnw0.4998,0.40796367818229134,0.4554740393,0.18762301677074966,0.20947309254340007,0.4079636781789343,0.4554740392962521,0.23291466205714287,0.9356402459,0.4997595534,0,1,2
6000,l2,all_param,ffs_re6000_all_param_final,90,ffs_Reh6000_Csep1.6703_Cnw0.5622_Cmix0.8539_Cjet1.0251_Cturb1.5,0.3386216624998814,0.382609151,0.1619260310781717,0.1829604781284203,0.33862166254118364,0.38260915104666743,0.25980315716,1.670324292,0.5622288849,0.853896448,1.025132592,1.5
