run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw
ffs_Reh4000_geko_default,baseline,0.3105654467,28.6999,true,1.75,0.5
ffs_Reh4000_Csep2.0525_Cnw-0.4716,optimizer,0.5065290102,28.7136,true,2.052529707,-0.4716351849
ffs_Reh4000_Csep1.1525_Cnw1.5284,optimizer,0.4064602329,30.4193,true,1.152529707,1.528364815
ffs_Reh4000_Csep1.6025_Cnw0.5284,optimizer,0.3107841227,28.9092,true,1.602529707,0.5283648151
ffs_Reh4000_Csep0.7025_Cnw-1.4716,optimizer,0.454787746,33.1579,true,0.7025297067,-1.471635185
ffs_Reh4000_Csep0.9275_Cnw1.0284,optimizer,0.3118374126,31.0561,true,0.9275297067,1.028364815
ffs_Reh4000_Csep1.8275_Cnw-0.9716,optimizer,0.559561621,28.4773,true,1.827529707,-0.9716351849
ffs_Reh4000_Csep1.3775_Cnw0.0284,optimizer,0.3654908263,28.8451,true,1.377529707,0.02836481508
ffs_Reh4000_Csep2.2775_Cnw-1.9716,optimizer,0.8000674702,28.4485,true,2.277529707,-1.971635185
ffs_Reh4000_Csep2.39_Cnw0.7784,optimizer,0.4243496774,28.4509,true,2.390029707,0.7783648151
ffs_Reh4000_Csep1.49_Cnw-1.2216,optimizer,0.5678692888,28.4798,true,1.490029707,-1.221635185
ffs_Reh4000_Csep1.94_Cnw-0.2216,optimizer,0.4501801775,28.8353,true,1.940029707,-0.2216351849
ffs_Reh4000_Csep1.04_Cnw1.7784,optimizer,0.416363439,30.4209,true,1.040029707,1.778364815
ffs_Reh4000_Csep0.815_Cnw0.2784,optimizer,0.2718205487,31.9252,true,0.8150297067,0.2783648151
ffs_Reh4000_Csep1.715_Cnw-1.7216,optimizer,0.6700176936,28.3027,true,1.715029707,-1.721635185
ffs_Reh4000_Csep1.265_Cnw1.2784,optimizer,0.3902496466,29.7479,true,1.265029707,1.278364815
ffs_Reh4000_Csep2.165_Cnw-0.7216,optimizer,0.5640424086,28.7426,true,2.165029707,-0.7216351849
ffs_Reh4000_Csep0.7_Cnw0.6277,optimizer,0.2947742817,30.5573,true,0.7,0.6276874959
ffs_Reh4000_Csep2.5_Cnw2,optimizer,0.6456762853,30.6098,true,2.5,2
ffs_Reh4000_Csep0.7_Cnw-0.2151,optimizer,0.3467749866,35.2772,true,0.7,-0.2150782817
ffs_Reh4000_Csep1.9045_Cnw1.0471,optimizer,0.4131696362,31.0730,true,1.904542032,1.047111956
ffs_Reh4000_Csep0.919_Cnw0.4543,optimizer,0.2573669627,32.3415,true,0.9189573268,0.4543007991
ffs_Reh4000_Csep0.7_Cnw2,optimizer,0.5006289409,33.6918,true,0.7,2
ffs_Reh4000_Csep0.879_Cnw0.531,optimizer,0.2517455434,33.5421,true,0.8789857129,0.531003783
ffs_Reh4000_Csep0.7_Cnw-2,optimizer,0.5042204051,36.7363,true,0.7,-2
ffs_Reh4000_Csep2.5_Cnw0.0439,optimizer,0.468554189,30.8432,true,2.5,0.04394371551
ffs_Reh4000_Csep1.6077_Cnw2,optimizer,0.5247818978,29.1215,true,1.607729776,2
ffs_Reh4000_Csep1.0742_Cnw-1.997,optimizer,0.6238220709,36.5856,true,1.074152679,-1.997008366
ffs_Reh4000_Csep1.0893_Cnw0.6445,optimizer,0.2906841588,30.7413,true,1.089315355,0.6445176403
ffs_Reh4000_Csep0.8582_Cnw0.5518,optimizer,0.2534748792,35.7254,true,0.858225372,0.5518418903
ffs_Reh4000_Csep0.9098_Cnw0.5934,optimizer,0.2613390743,32.9880,true,0.9097723899,0.5933919698
ffs_Reh4000_Csep1.367_Cnw0.5884,optimizer,0.3079828628,28.7821,true,1.367038531,0.5884446306
ffs_Reh4000_Csep2.1054_Cnw0.4513,optimizer,0.3565157293,28.7906,true,2.105364435,0.4513499421
ffs_Reh4000_Csep2.076_Cnw2,optimizer,0.5871715762,29.1527,true,2.075963068,2
ffs_Reh4000_Csep0.854_Cnw0.4605,optimizer,0.2517623457,31.3403,true,0.8539514172,0.4604894252
ffs_Reh4000_Csep0.8739_Cnw0.4804,optimizer,0.2501625626,31.0562,true,0.8738759846,0.4803620944
ffs_Reh4000_Csep0.8754_Cnw0.4736,optimizer,0.2509777169,31.0909,true,0.8753845361,0.4735545277
ffs_Reh4000_Csep2.5_Cnw-1.1842,optimizer,0.6890903648,28.5481,true,2.5,-1.18418056
ffs_Reh4000_Csep1.0464_Cnw-0.8126,optimizer,0.4420195875,29.9911,true,1.046424734,-0.8125948942
ffs_Reh4000_Csep1.591_Cnw1.1141,optimizer,0.3956292023,29.0139,true,1.59102623,1.114076011
ffs_Reh4000_Csep0.7_Cnw0.2764,optimizer,0.299608119,31.8953,true,0.7,0.2763707835
ffs_Reh4000_Csep0.7_Cnw1.2729,optimizer,0.3884005859,31.1745,true,0.7,1.272894376
ffs_Reh4000_Csep1.8471_Cnw0.4709,optimizer,0.3258610721,29.0447,true,1.847120778,0.4708855133
ffs_Reh4000_Csep0.7_Cnw-0.8276,optimizer,0.4014125932,32.4229,true,0.7,-0.8275674502
ffs_Reh4000_Csep0.9632_Cnw-0.2378,optimizer,0.3484106326,28.7937,true,0.9631927396,-0.2377556491
ffs_Reh4000_Csep1.6338_Cnw-0.0108,optimizer,0.3870486164,28.4698,true,1.633762929,-0.0108038953
ffs_Reh4000_Csep1.2769_Cnw2,optimizer,0.4847878566,29.6960,true,1.27694798,2
ffs_Reh4000_Csep1.1354_Cnw0.2917,optimizer,0.3058685406,29.9474,true,1.135364802,0.2917202091
ffs_Reh4000_Csep2.2084_Cnw1.1794,optimizer,0.4712946773,29.1328,true,2.208407984,1.179420677
