run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cturb,geko_cjet
alpha1.0_Re5600_geko_default,baseline,1.765932114,44.0920,true,1.75,0.5,0,2,1
alpha1.0_Re5600_Csep1.3643_Cnw-1.8964_Cmix0.8086_Cjet0.7278_Cturb2.2738,optimizer,2.907961453,30.0013,true,1.364306727,-1.896435116,0.8086272794,2.273752653,0.7277817233
alpha1.0_Re5600_Csep2.2643_Cnw0.1036_Cmix0.2086_Cjet0.1278_Cturb1.2738,optimizer,1.851526327,29.6929,true,2.264306727,0.1035648836,0.2086272794,1.273752653,0.1277817233
alpha1.0_Re5600_Csep0.9143_Cnw-0.8964_Cmix0.5086_Cjet0.4278_Cturb0.7738,optimizer,1.100177679,26.3461,true,0.914306727,-0.8964351164,0.5086272794,0.773752653,0.4277817233
alpha1.0_Re5600_Csep1.8143_Cnw1.1036_Cmix-0.0914_Cjet1.0278_Cturb1.7738,optimizer,2.016579719,35.0176,true,1.814306727,1.103564884,-0.09137272064,1.773752653,1.027781723
alpha1.0_Re5600_Csep2.0393_Cnw-0.3964_Cmix0.3586_Cjet0.5778_Cturb0.5238,optimizer,0.8571911026,28.3288,true,2.039306727,-0.3964351164,0.3586272794,0.523752653,0.5777817233
alpha1.0_Re5600_Csep1.1393_Cnw1.6036_Cmix0.9586_Cjet1.1778_Cturb1.5238,optimizer,1.222323464,29.6116,true,1.139306727,1.603564884,0.9586272794,1.523752653,1.177781723
alpha1.0_Re5600_Csep2.4893_Cnw-1.3964_Cmix0.0586_Cjet0.8778_Cturb1.0238,optimizer,2.447942603,30.2247,true,2.489306727,-1.396435116,0.05862727936,1.023752653,0.8777817233
alpha1.0_Re5600_Csep1.5893_Cnw0.6036_Cmix0.6586_Cjet0.2778_Cturb2.0238,optimizer,1.732570811,28.0162,true,1.589306727,0.6035648836,0.6586272794,2.023752653,0.2777817233
alpha1.0_Re5600_Csep0.7_Cnw2_Cmix1_Cjet0_Cturb0.5,optimizer,1.902453802,25.8942,true,0.7,2,1,0.5,0
alpha1.0_Re5600_Csep2.5_Cnw2_Cmix1_Cjet1.2_Cturb0.5,optimizer,1.661737628,24.9520,true,2.5,2,1,0.5,1.2
alpha1.0_Re5600_Csep2.0243_Cnw-0.386_Cmix0.3649_Cjet0.5734_Cturb0.5,optimizer,0.8601397106,27.4035,true,2.024343112,-0.385958184,0.364938929,0.5,0.5733568449
alpha1.0_Re5600_Csep0.7_Cnw-2_Cmix-0.2_Cjet0_Cturb0.5,optimizer,4.76836239,34.7757,true,0.7,-2,-0.2,0.5,0
alpha1.0_Re5600_Csep0.7_Cnw-2_Cmix1_Cjet1.2_Cturb0.5,optimizer,1.420661599,21.7585,true,0.7,-2,1,0.5,1.2
alpha1.0_Re5600_Csep2.5_Cnw-2_Cmix1_Cjet0_Cturb0.5,optimizer,1.467738948,21.5809,true,2.5,-2,1,0.5,0
alpha1.0_Re5600_Csep2.0768_Cnw-0.2981_Cmix0.3798_Cjet0.6053_Cturb0.5274,optimizer,0.8436794505,27.5947,true,2.07680275,-0.298070341,0.3798227335,0.5273879212,0.6052769486
alpha1.0_Re5600_Csep0.7_Cnw2_Cmix-0.2_Cjet1.2_Cturb0.5,optimizer,2.879918862,35.3993,true,0.7,2,-0.2,0.5,1.2
