run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw
alpha1.0_Re5600_geko_default,baseline,1.765932114,34.5166,true,1.75,0.5
alpha1.0_Re5600_Csep1.3643_Cnw-1.8964,optimizer,4.430016726,33.7705,true,1.364306727,-1.896435116
alpha1.0_Re5600_Csep2.2643_Cnw0.1036,optimizer,2.592548396,35.7648,true,2.264306727,0.1035648836
alpha1.0_Re5600_Csep0.9143_Cnw-0.8964,optimizer,2.249574909,35.5132,true,0.914306727,-0.8964351164
alpha1.0_Re5600_Csep1.8143_Cnw1.1036,optimizer,2.276435253,37.5402,true,1.814306727,1.103564884
alpha1.0_Re5600_Csep2.0393_Cnw-0.3964,optimizer,2.997090363,34.8353,true,2.039306727,-0.3964351164
alpha1.0_Re5600_Csep1.1393_Cnw1.6036,optimizer,1.718241317,32.9098,true,1.139306727,1.603564884
alpha1.0_Re5600_Csep2.4893_Cnw-1.3964,optimizer,4.583058225,34.2484,true,2.489306727,-1.396435116
alpha1.0_Re5600_Csep1.5893_Cnw0.6036,optimizer,1.769015779,32.4625,true,1.589306727,0.6035648836
alpha1.0_Re5600_Csep0.7_Cnw0.6413,optimizer,0.8466125,31.3855,true,0.7,0.6413468379
alpha1.0_Re5600_Csep0.7_Cnw2,optimizer,1.51542384,34.2698,true,0.7,2
alpha1.0_Re5600_Csep2.5_Cnw2,optimizer,3.664967641,38.7120,true,2.5,2
alpha1.0_Re5600_Csep0.7_Cnw0.5078,optimizer,0.7950812978,31.3219,true,0.7,0.5077883904
alpha1.0_Re5600_Csep0.7_Cnw0.2576,optimizer,0.8721441345,30.6548,true,0.7,0.2576261648
alpha1.0_Re5600_Csep0.7501_Cnw0.4693,optimizer,0.8038205719,32.1983,true,0.750073046,0.469348376
alpha1.0_Re5600_Csep0.961_Cnw0.4615,optimizer,1.104659528,34.2010,true,0.9609688063,0.4614894604
alpha1.0_Re5600_Csep0.7_Cnw-2,optimizer,2.858922764,32.2207,true,0.7,-2
alpha1.0_Re5600_Csep1.5011_Cnw2,optimizer,2.509615101,43.3695,true,1.501141957,2
alpha1.0_Re5600_Csep0.7_Cnw0.4394,optimizer,0.8114184843,29.5201,true,0.7,0.439374631
alpha1.0_Re5600_Csep0.7354_Cnw0.538,optimizer,0.7997077671,30.1708,true,0.7354089272,0.5379747727
alpha1.0_Re5600_Csep0.7_Cnw-0.2345,optimizer,1.075002316,29.1436,true,0.7,-0.2344674726
alpha1.0_Re5600_Csep0.8431_Cnw0.0668,optimizer,1.155317166,31.1482,true,0.843061098,0.06679882518
alpha1.0_Re5600_Csep0.7175_Cnw0.5092,optimizer,0.7903356663,30.1570,true,0.7174777883,0.5091658815
alpha1.0_Re5600_Csep0.7207_Cnw0.5005,optimizer,0.7869449509,32.2709,true,0.720740912,0.5004865129
alpha1.0_Re5600_Csep1.2682_Cnw0.1515,optimizer,1.792998159,36.7579,true,1.268189842,0.1514664019
alpha1.0_Re5600_Csep0.7_Cnw1.1136,optimizer,1.050492519,33.1876,true,0.7,1.113554865
alpha1.0_Re5600_Csep0.9507_Cnw0.8884,optimizer,1.157956981,39.4708,true,0.9506611978,0.8883931278
alpha1.0_Re5600_Csep2.5_Cnw0.6923,optimizer,2.480000057,40.1469,true,2.5,0.6922797429
alpha1.0_Re5600_Csep1.2063_Cnw0.8415,optimizer,1.563749053,36.2687,true,1.20630265,0.8414888933
alpha1.0_Re5600_Csep1.9678_Cnw-2,optimizer,4.997954268,39.2741,true,1.967758238,-2
alpha1.0_Re5600_Csep0.7_Cnw0.0411,optimizer,0.9527531312,35.8287,true,0.7,0.04112274612
alpha1.0_Re5600_Csep0.9752_Cnw2,optimizer,1.451742032,41.2603,true,0.9752298378,2
alpha1.0_Re5600_Csep0.859_Cnw1.4256,optimizer,1.134373074,39.1449,true,0.8589946021,1.425592386
alpha1.0_Re5600_Csep0.7_Cnw-0.7229,optimizer,1.372679835,34.5358,true,0.7,-0.7229433307
alpha1.0_Re5600_Csep1.5999_Cnw-0.1751,optimizer,2.400083326,34.9043,true,1.599949159,-0.1750935639
alpha1.0_Re5600_Csep0.7_Cnw1.4892,optimizer,1.235642547,35.1799,true,0.7,1.489165007
alpha1.0_Re5600_Csep1.9493_Cnw2,optimizer,3.08197767,41.5143,true,1.949289331,2
alpha1.0_Re5600_Csep0.8007_Cnw0.8204,optimizer,0.9158716557,37.2828,true,0.8006872971,0.8203649756
alpha1.0_Re5600_Csep1.9031_Cnw0.4408,optimizer,1.952996546,37.7130,true,1.903149187,0.4408480463
alpha1.0_Re5600_Csep0.7264_Cnw0.4784,optimizer,0.7941728998,36.4515,true,0.7263911768,0.4784077187
alpha1.0_Re5600_Csep0.7958_Cnw0.5226,optimizer,0.8327441169,36.1769,true,0.7957569188,0.5225840186
alpha1.0_Re5600_Csep0.7_Cnw0.8266,optimizer,0.9225975261,36.2100,true,0.7,0.8265915415
alpha1.0_Re5600_Csep0.8352_Cnw1.0922,optimizer,1.021368475,38.9403,true,0.835188181,1.092160645
alpha1.0_Re5600_Csep1.0333_Cnw-0.1368,optimizer,1.733425935,37.9699,true,1.033332751,-0.1368242338
alpha1.0_Re5600_Csep1.4351_Cnw1.1119,optimizer,1.960823206,38.7017,true,1.435072902,1.111852723
alpha1.0_Re5600_Csep2.5_Cnw-0.2337,optimizer,3.14393658,41.4060,true,2.5,-0.233744035
alpha1.0_Re5600_Csep2.143_Cnw0.9018,optimizer,2.415861695,46.6249,true,2.142989354,0.9017573177
alpha1.0_Re5600_Csep1.3263_Cnw-0.6894,optimizer,2.755072768,31.3564,true,1.326259769,-0.6894363873
alpha1.0_Re5600_Csep0.9842_Cnw1.266,optimizer,1.309725243,34.2733,true,0.9841904111,1.265968326
alpha1.0_Re5600_Csep0.7_Cnw-1.1965,optimizer,1.788501966,28.2064,true,0.7,-1.196455986
alpha1.0_Re5600_Csep1.1878_Cnw2,optimizer,1.937920984,31.5154,true,1.187845528,2
