run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cjet
alpha1.0_Re5600_geko_default,baseline,1.765932114,30.8964,true,1.75,0.5,0,1
alpha1.0_Re5600_Csep1.3643_Cnw-1.8964_Cmix0.8086_Cjet1.0643,optimizer,2.920767767,28.8778,true,1.364306727,-1.896435116,0.8086272794,1.064251592
alpha1.0_Re5600_Csep2.2643_Cnw0.1036_Cmix0.2086_Cjet0.4643,optimizer,2.34315077,30.3483,true,2.264306727,0.1035648836,0.2086272794,0.4642515918
alpha1.0_Re5600_Csep0.9143_Cnw-0.8964_Cmix0.5086_Cjet0.1643,optimizer,1.870802743,28.0940,true,0.914306727,-0.8964351164,0.5086272794,0.1642515918
alpha1.0_Re5600_Csep1.8143_Cnw1.1036_Cmix-0.0914_Cjet0.7643,optimizer,2.15618389,34.9790,true,1.814306727,1.103564884,-0.09137272064,0.7642515918
alpha1.0_Re5600_Csep2.0393_Cnw-0.3964_Cmix0.3586_Cjet0.0143,optimizer,2.577567618,28.7822,true,2.039306727,-0.3964351164,0.3586272794,0.01425159179
alpha1.0_Re5600_Csep1.1393_Cnw1.6036_Cmix0.9586_Cjet0.6143,optimizer,1.51186008,31.1282,true,1.139306727,1.603564884,0.9586272794,0.6142515918
alpha1.0_Re5600_Csep2.4893_Cnw-1.3964_Cmix0.0586_Cjet0.3143,optimizer,3.528382321,31.4505,true,2.489306727,-1.396435116,0.05862727936,0.3142515918
alpha1.0_Re5600_Csep1.5893_Cnw0.6036_Cmix0.6586_Cjet0.9143,optimizer,1.664268223,27.3448,true,1.589306727,0.6035648836,0.6586272794,0.9142515918
alpha1.0_Re5600_Csep2.5_Cnw2_Cmix1_Cjet1.2,optimizer,2.639399665,29.8701,true,2.5,2,1,1.2
alpha1.0_Re5600_Csep0.7_Cnw2_Cmix-0.2_Cjet0,optimizer,1.277062332,32.2847,true,0.7,2,-0.2,0
alpha1.0_Re5600_Csep0.7_Cnw2_Cmix1_Cjet0,optimizer,1.355781979,29.7673,true,0.7,2,1,0
alpha1.0_Re5600_Csep0.7_Cnw2_Cmix0.5162_Cjet1.0065,optimizer,1.208487309,30.1906,true,0.7,2,0.5162391014,1.006537309
alpha1.0_Re5600_Csep0.7_Cnw2_Cmix-0.2_Cjet1.2,optimizer,1.197222507,32.5369,true,0.7,2,-0.2,1.2
