run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw
alpha1.0_Re2800_geko_default,baseline,2.968347314,27.4761,true,1.75,0.5
alpha1.0_Re2800_Csep1.3643_Cnw-1.8964,optimizer,7.025415026,27.5926,true,1.364306727,-1.896435116
alpha1.0_Re2800_Csep2.2643_Cnw0.1036,optimizer,4.189417713,29.4482,true,2.264306727,0.1035648836
alpha1.0_Re2800_Csep0.9143_Cnw-0.8964,optimizer,4.117481913,18.8600,true,0.914306727,-0.8964351164
alpha1.0_Re2800_Csep1.8143_Cnw1.1036,optimizer,3.85108464,20.2745,true,1.814306727,1.103564884
alpha1.0_Re2800_Csep2.0393_Cnw-0.3964,optimizer,4.849672966,20.0987,true,2.039306727,-0.3964351164
alpha1.0_Re2800_Csep1.1393_Cnw1.6036,optimizer,3.483184868,20.2169,true,1.139306727,1.603564884
alpha1.0_Re2800_Csep2.4893_Cnw-1.3964,optimizer,7.174689637,19.7436,true,2.489306727,-1.396435116
alpha1.0_Re2800_Csep1.5893_Cnw0.6036,optimizer,3.030226377,19.6676,true,1.589306727,0.6035648836
alpha1.0_Re2800_Csep1.8672_Cnw-1.9118,optimizer,7.51313629,19.3590,true,1.867167997,-1.911801466
alpha1.0_Re2800_Csep1.5575_Cnw0.5563,optimizer,2.953128606,18.7025,true,1.557512277,0.556340711
alpha1.0_Re2800_Csep1.5271_Cnw0.5169,optimizer,2.886571532,19.9943,true,1.527115423,0.5169466502
alpha1.0_Re2800_Csep1.5131_Cnw0.5052,optimizer,2.863701001,27.2688,true,1.51312913,0.50520839
alpha1.0_Re2800_Csep2.5_Cnw2,optimizer,5.992013155,31.9145,true,2.5,2
alpha1.0_Re2800_Csep1.483_Cnw0.4822,optimizer,2.865552253,27.1958,true,1.483035106,0.4822462196
alpha1.0_Re2800_Csep1.4971_Cnw0.5168,optimizer,2.867339276,25.8715,true,1.497060324,0.5167677642
alpha1.0_Re2800_Csep1.5009_Cnw0.4768,optimizer,2.885734487,18.9662,true,1.500940806,0.4768180241
alpha1.0_Re2800_Csep0.7_Cnw0.6038,optimizer,2.508338742,17.3106,true,0.7,0.603804042
alpha1.0_Re2800_Csep0.7_Cnw2,optimizer,4.56663578,17.8076,true,0.7,2
alpha1.0_Re2800_Csep0.7_Cnw-2,optimizer,4.990286747,16.7554,true,0.7,-2
alpha1.0_Re2800_Csep1.6561_Cnw2,optimizer,4.7478699,19.7181,true,1.656108013,2
alpha1.0_Re2800_Csep1.1815_Cnw0.2825,optimizer,2.876473131,19.0400,true,1.181486694,0.2824874833
alpha1.0_Re2800_Csep0.7_Cnw-0.1143,optimizer,2.869847305,16.7498,true,0.7,-0.114257959
alpha1.0_Re2800_Csep2.5_Cnw0.6849,optimizer,3.987164186,20.7540,true,2.5,0.6849243203
alpha1.0_Re2800_Csep0.7_Cnw1.0106,optimizer,3.051750698,17.1759,true,0.7,1.010578935
alpha1.0_Re2800_Csep0.932_Cnw0.5884,optimizer,2.303691768,18.7190,true,0.9320464579,0.588370804
alpha1.0_Re2800_Csep0.8822_Cnw0.3396,optimizer,2.352972792,18.2850,true,0.8821627075,0.3395579347
alpha1.0_Re2800_Csep1.3202_Cnw-0.5623,optimizer,4.417815207,18.5638,true,1.320187839,-0.5623471552
alpha1.0_Re2800_Csep0.9162_Cnw0.5159,optimizer,2.224114274,18.7535,true,0.9162174741,0.5159092096
alpha1.0_Re2800_Csep0.9048_Cnw0.4856,optimizer,2.214883076,18.5470,true,0.9047597122,0.4856004548
alpha1.0_Re2800_Csep0.9256_Cnw0.4635,optimizer,2.262067645,18.6634,true,0.9256127145,0.4635431143
alpha1.0_Re2800_Csep0.8916_Cnw0.5067,optimizer,2.194695816,18.8717,true,0.8915658347,0.5067409522
alpha1.0_Re2800_Csep0.8694_Cnw0.5226,optimizer,2.198494872,25.9251,true,0.8693704634,0.5225941688
alpha1.0_Re2800_Csep0.8841_Cnw0.5461,optimizer,2.225628819,26.3987,true,0.8841449034,0.5460991827
alpha1.0_Re2800_Csep0.8707_Cnw0.4919,optimizer,2.186234005,26.5077,true,0.8706871063,0.4919263128
alpha1.0_Re2800_Csep0.7_Cnw0.3329,optimizer,2.512508141,24.7871,true,0.7,0.3329413121
alpha1.0_Re2800_Csep1.098_Cnw0.6331,optimizer,2.580757732,20.0069,true,1.098045238,0.6330889922
alpha1.0_Re2800_Csep1.2122_Cnw2,optimizer,3.962737058,20.1726,true,1.212177941,2
alpha1.0_Re2800_Csep2.0397_Cnw2,optimizer,5.370860083,21.2354,true,2.039675523,2
alpha1.0_Re2800_Csep0.7_Cnw-0.7148,optimizer,3.375229528,16.4821,true,0.7,-0.714789832
alpha1.0_Re2800_Csep2.5_Cnw-0.1869,optimizer,4.923364509,20.3371,true,2.5,-0.186935243
alpha1.0_Re2800_Csep2.0375_Cnw0.6505,optimizer,3.499190091,19.8494,true,2.037507006,0.6505051216
alpha1.0_Re2800_Csep0.8258_Cnw0.4686,optimizer,2.211436283,18.0938,true,0.8258429974,0.4686380162
alpha1.0_Re2800_Csep0.9553_Cnw-0.1233,optimizer,3.058486032,26.0889,true,0.9552502838,-0.1233187552
alpha1.0_Re2800_Csep1.0856_Cnw1.0492,optimizer,2.922117944,21.0271,true,1.085643873,1.049239125
alpha1.0_Re2800_Csep1.2832_Cnw0.5098,optimizer,2.68496183,20.4814,true,1.283192751,0.5097648844
alpha1.0_Re2800_Csep2.2109_Cnw1.0435,optimizer,4.256921169,20.8390,true,2.210871871,1.043515448
alpha1.0_Re2800_Csep1.8534_Cnw0.3734,optimizer,3.296599555,19.4384,true,1.853401183,0.3733743335
alpha1.0_Re2800_Csep0.9378_Cnw1.3477,optimizer,2.978193569,20.2424,true,0.9377924953,1.347716031
alpha1.0_Re2800_Csep0.7_Cnw-1.2335,optimizer,3.895771656,16.7771,true,0.7,-1.233490335
alpha1.0_Re2800_Csep1.6877_Cnw-0.7109,optimizer,5.020196928,19.0814,true,1.687662835,-0.7109158181
