run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cturb,geko_cjet
alpha1.0_Re2800_geko_default,baseline,1.859747524,19.0165,true,1.75,0.5,0,2,1
alpha1.0_Re2800_Csep1.3643_Cnw-1.8964_Cmix0.8086_Cjet0.7278_Cturb2.2738,optimizer,2.85116214,17.2334,true,1.364306727,-1.896435116,0.8086272794,2.273752653,0.7277817233
alpha1.0_Re2800_Csep2.2643_Cnw0.1036_Cmix0.2086_Cjet0.1278_Cturb1.2738,optimizer,1.908921434,17.3706,true,2.264306727,0.1035648836,0.2086272794,1.273752653,0.1277817233
alpha1.0_Re2800_Csep0.9143_Cnw-0.8964_Cmix0.5086_Cjet0.4278_Cturb0.7738,optimizer,1.492699205,15.3249,true,0.914306727,-0.8964351164,0.5086272794,0.773752653,0.4277817233
alpha1.0_Re2800_Csep1.8143_Cnw1.1036_Cmix-0.0914_Cjet1.0278_Cturb1.7738,optimizer,2.15779647,21.5229,true,1.814306727,1.103564884,-0.09137272064,1.773752653,1.027781723
alpha1.0_Re2800_Csep2.0393_Cnw-0.3964_Cmix0.3586_Cjet0.5778_Cturb0.5238,optimizer,1.400084897,15.9769,true,2.039306727,-0.3964351164,0.3586272794,0.523752653,0.5777817233
alpha1.0_Re2800_Csep1.1393_Cnw1.6036_Cmix0.9586_Cjet1.1778_Cturb1.5238,optimizer,1.291254179,17.7786,true,1.139306727,1.603564884,0.9586272794,1.523752653,1.177781723
alpha1.0_Re2800_Csep2.4893_Cnw-1.3964_Cmix0.0586_Cjet0.8778_Cturb1.0238,optimizer,2.480428225,18.2497,true,2.489306727,-1.396435116,0.05862727936,1.023752653,0.8777817233
alpha1.0_Re2800_Csep1.5893_Cnw0.6036_Cmix0.6586_Cjet0.2778_Cturb2.0238,optimizer,1.760595437,17.8157,true,1.589306727,0.6035648836,0.6586272794,2.023752653,0.2777817233
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix1_Cjet0_Cturb0.5,optimizer,3.332357292,14.0158,true,0.7,2,1,0.5,0
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix-0.2_Cjet0_Cturb0.5,optimizer,4.957564113,22.8535,true,0.7,-2,-0.2,0.5,0
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix1_Cjet1.2_Cturb0.5,optimizer,2.938949768,15.6473,true,2.5,2,1,0.5,1.2
