run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cjet
alpha1.0_Re2800_geko_default,baseline,2.968347314,17.0873,true,1.75,0.5,0,1
alpha1.0_Re2800_Csep1.3643_Cnw-1.8964_Cmix0.8086_Cjet1.0643,optimizer,4.696094316,15.4247,true,1.364306727,-1.896435116,0.8086272794,1.064251592
alpha1.0_Re2800_Csep2.2643_Cnw0.1036_Cmix0.2086_Cjet0.4643,optimizer,3.806412622,16.1965,true,2.264306727,0.1035648836,0.2086272794,0.4642515918
alpha1.0_Re2800_Csep0.9143_Cnw-0.8964_Cmix0.5086_Cjet0.1643,optimizer,3.397492011,15.0229,true,0.914306727,-0.8964351164,0.5086272794,0.1642515918
alpha1.0_Re2800_Csep1.8143_Cnw1.1036_Cmix-0.0914_Cjet0.7643,optimizer,3.650778422,19.6350,true,1.814306727,1.103564884,-0.09137272064,0.7642515918
alpha1.0_Re2800_Csep2.0393_Cnw-0.3964_Cmix0.3586_Cjet0.0143,optimizer,4.199788646,16.0113,true,2.039306727,-0.3964351164,0.3586272794,0.01425159179
alpha1.0_Re2800_Csep1.1393_Cnw1.6036_Cmix0.9586_Cjet0.6143,optimizer,2.986788508,15.5998,true,1.139306727,1.603564884,0.9586272794,0.6142515918
alpha1.0_Re2800_Csep2.4893_Cnw-1.3964_Cmix0.0586_Cjet0.3143,optimizer,5.541124479,16.8357,true,2.489306727,-1.396435116,0.05862727936,0.3142515918
alpha1.0_Re2800_Csep1.5893_Cnw0.6036_Cmix0.6586_Cjet0.9143,optimizer,2.844097288,15.8855,true,1.589306727,0.6035648836,0.6586272794,0.9142515918
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix1_Cjet1.2,optimizer,4.357378823,15.5791,true,2.5,2,1,1.2
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix-0.2_Cjet0,optimizer,3.845163442,17.6235,true,0.7,2,-0.2,0
alpha1.0_Re2800_Csep1.55_Cnw0.7502_Cmix0.6426_Cjet0.9043,optimizer,2.893451148,15.9153,true,1.549981977,0.7501830417,0.6425692917,0.9042622077
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix1_Cjet0,optimizer,4.088458984,14.5883,true,0.7,2,1,0
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix1_Cjet1.2,optimizer,3.847967627,14.3308,true,0.7,2,1,1.2
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix1_Cjet0,optimizer,4.633341933,15.0747,true,2.5,2,1,0
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix1_Cjet0,optimizer,4.015969552,13.4014,true,0.7,-2,1,0
alpha1.0_Re2800_Csep1.6147_Cnw0.5039_Cmix0.6714_Cjet0.915,optimizer,2.808999208,15.6005,true,1.614699414,0.5038797893,0.6713892118,0.9150037991
alpha1.0_Re2800_Csep1.6479_Cnw0.3643_Cmix0.6911_Cjet0.9071,optimizer,2.932974865,15.8394,true,1.647872775,0.3643189996,0.6910645422,0.9070732711
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix-0.2_Cjet1.2,optimizer,3.649253736,17.2274,true,0.7,-2,-0.2,1.2
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix-0.2_Cjet1.2,optimizer,3.604770808,18.5830,true,0.7,2,-0.2,1.2
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix-0.2_Cjet0,optimizer,3.856130413,15.7016,true,0.7,-2,-0.2,0
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix-0.2_Cjet0,optimizer,5.664636935,20.7025,true,2.5,2,-0.2,0
alpha1.0_Re2800_Csep1.6337_Cnw0.4949_Cmix0.6685_Cjet0.9479,optimizer,2.810724514,15.5496,true,1.633687574,0.4949290673,0.6684844936,0.947911768
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix-0.2_Cjet1.2,optimizer,5.320106185,20.7490,true,2.5,2,-0.2,1.2
alpha1.0_Re2800_Csep2.5_Cnw-2_Cmix-0.2_Cjet1.2,optimizer,6.806052368,20.1268,true,2.5,-2,-0.2,1.2
alpha1.0_Re2800_Csep2.5_Cnw-2_Cmix1_Cjet0,optimizer,5.819757107,15.5442,true,2.5,-2,1,0
alpha1.0_Re2800_Csep0.7_Cnw0.6715_Cmix0.4216_Cjet0.6415,optimizer,2.553310479,14.4840,true,0.7,0.6714657127,0.4216495804,0.6415089416
alpha1.0_Re2800_Csep1.2654_Cnw1.1634_Cmix0.5553_Cjet0.6756,optimizer,2.884471603,15.6256,true,1.265446987,1.163434748,0.5553043809,0.6756498545
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix1_Cjet1.2,optimizer,3.810901343,13.8766,true,0.7,-2,1,1.2
alpha1.0_Re2800_Csep0.7_Cnw0.5014_Cmix0.4202_Cjet0.6384,optimizer,2.425664998,14.1655,true,0.7,0.501417591,0.4202100382,0.6383794612
alpha1.0_Re2800_Csep0.7_Cnw0.4373_Cmix0.4198_Cjet0.6371,optimizer,2.443417433,14.3569,true,0.7,0.4373189501,0.4198234904,0.6370572193
alpha1.0_Re2800_Csep2.5_Cnw-2_Cmix1_Cjet1.2,optimizer,5.518671043,15.3678,true,2.5,-2,1,1.2
alpha1.0_Re2800_Csep0.7_Cnw0.2564_Cmix-0.2_Cjet0.6256,optimizer,2.443995894,17.2289,true,0.7,0.2564401296,-0.2,0.6255948406
alpha1.0_Re2800_Csep0.7_Cnw0.5_Cmix0.39_Cjet0.6407,optimizer,2.416201036,14.3568,true,0.7,0.5000165347,0.390049869,0.6407004316
alpha1.0_Re2800_Csep0.7_Cnw0.503_Cmix0.3855_Cjet0.6116,optimizer,2.4247721,14.2699,true,0.7,0.5030460639,0.385513555,0.6116339451
alpha1.0_Re2800_Csep0.7_Cnw0.3046_Cmix-0.2_Cjet0.7154,optimizer,2.406526412,17.3426,true,0.7,0.3046294257,-0.2,0.7154046316
alpha1.0_Re2800_Csep0.7_Cnw0.1848_Cmix-0.2_Cjet0.7294,optimizer,2.439889049,17.1612,true,0.7,0.1847872856,-0.2,0.729397489
alpha1.0_Re2800_Csep0.7_Cnw0.4137_Cmix-0.2_Cjet0.7022,optimizer,2.376737786,17.7174,true,0.7,0.4136931961,-0.2,0.7022007429
alpha1.0_Re2800_Csep0.7_Cnw0.5101_Cmix-0.2_Cjet0.6916,optimizer,2.360722612,17.7128,true,0.7,0.5101357185,-0.2,0.6915733842
alpha1.0_Re2800_Csep0.7_Cnw0.6103_Cmix-0.2_Cjet0.7198,optimizer,2.427631145,17.3958,true,0.7,0.6102837227,-0.2,0.7197955501
alpha1.0_Re2800_Csep0.7_Cnw0.5169_Cmix-0.2_Cjet0.6682,optimizer,2.371769287,17.3112,true,0.7,0.5169434496,-0.2,0.6681987725
alpha1.0_Re2800_Csep0.7613_Cnw0.4824_Cmix-0.2_Cjet0.6853,optimizer,2.242875372,18.2982,true,0.7613125596,0.482426579,-0.2,0.6852959541
alpha1.0_Re2800_Csep0.7861_Cnw0.48_Cmix-0.2_Cjet0.685,optimizer,2.214357101,18.1552,true,0.7861475143,0.4799780336,-0.2,0.6850162424
alpha1.0_Re2800_Csep0.8118_Cnw0.4769_Cmix-0.2_Cjet0.6847,optimizer,2.196051983,18.5365,true,0.81183279,0.4769109041,-0.2,0.6846540671
alpha1.0_Re2800_Csep0.8514_Cnw0.443_Cmix-0.2_Cjet0.6822,optimizer,2.207761707,19.0083,true,0.8514315389,0.4429983435,-0.2,0.6821760711
alpha1.0_Re2800_Csep0.8327_Cnw0.5312_Cmix-0.2_Cjet0.6874,optimizer,2.19305076,18.5898,true,0.8326966277,0.5311818999,-0.2,0.6873501139
alpha1.0_Re2800_Csep0.8281_Cnw0.5017_Cmix-0.1722_Cjet0.6872,optimizer,2.172552997,18.6430,true,0.828138701,0.5017381062,-0.1721944411,0.6872026951
alpha1.0_Re2800_Csep0.8304_Cnw0.4893_Cmix-0.1283_Cjet0.6852,optimizer,2.165672183,17.6916,true,0.8303975441,0.4892982164,-0.1282608624,0.685213738
alpha1.0_Re2800_Csep0.853_Cnw0.3965_Cmix-0.0236_Cjet0.6866,optimizer,2.185661853,16.6180,true,0.8530215001,0.3964533473,-0.02360397433,0.6865829856
alpha1.0_Re2800_Csep0.9142_Cnw0.5025_Cmix0.0508_Cjet0.6618,optimizer,2.18352377,16.5528,true,0.9142311951,0.5024731112,0.05077302321,0.6618253494
alpha1.0_Re2800_Csep0.8705_Cnw0.509_Cmix-0.0373_Cjet0.6626,optimizer,2.15183759,16.8138,true,0.8705412849,0.508985482,-0.03728393827,0.6626084303
alpha1.0_Re2800_Csep0.869_Cnw0.4739_Cmix-0.0091_Cjet0.6374,optimizer,2.15972338,16.4688,true,0.8690297011,0.4738756331,-0.009093437051,0.6374061869
alpha1.0_Re2800_Csep0.9012_Cnw0.4754_Cmix-0.0338_Cjet0.6519,optimizer,2.187585722,16.9697,true,0.9012148601,0.4754340298,-0.03382157524,0.6518802833
alpha1.0_Re2800_Csep0.8471_Cnw0.5296_Cmix-0.0173_Cjet0.6586,optimizer,2.151995443,17.0984,true,0.8470517267,0.5295556262,-0.01726318496,0.6585909675
alpha1.0_Re2800_Csep0.8734_Cnw0.467_Cmix0.1095_Cjet0.6174,optimizer,2.191865028,16.0482,true,0.873438002,0.4669613583,0.1095453433,0.6173603147
alpha1.0_Re2800_Csep0.974_Cnw0.5026_Cmix0.2673_Cjet0.646,optimizer,2.288464201,15.6476,true,0.9740296884,0.5025575181,0.2672865503,0.6459628885
alpha1.0_Re2800_Csep1.6148_Cnw2_Cmix1_Cjet0.7027,optimizer,3.631943516,15.1551,true,1.614778384,2,1,0.7026871141
alpha1.0_Re2800_Csep0.7_Cnw0.4436_Cmix1_Cjet0.6544,optimizer,2.586482037,14.0634,true,0.7,0.4435790744,1,0.654393293
alpha1.0_Re2800_Csep0.7_Cnw0.0846_Cmix1_Cjet1.2,optimizer,2.653854197,13.7039,true,0.7,0.08460430006,1,1.2
alpha1.0_Re2800_Csep0.7_Cnw0.1803_Cmix0.359_Cjet0,optimizer,2.665182411,13.9111,true,0.7,0.1802620074,0.3590240584,0
alpha1.0_Re2800_Csep1.3111_Cnw0.4275_Cmix1_Cjet1.2,optimizer,2.721380972,15.2658,true,1.311072953,0.4275418295,1,1.2
alpha1.0_Re2800_Csep0.7_Cnw0.1878_Cmix0.5094_Cjet1.2,optimizer,2.499555207,14.2241,true,0.7,0.1878457257,0.5093941283,1.2
alpha1.0_Re2800_Csep1.1584_Cnw0.2165_Cmix0.5383_Cjet1.2,optimizer,2.680232188,15.5610,true,1.158425649,0.2165047004,0.538255719,1.2
alpha1.0_Re2800_Csep1.0825_Cnw0.5812_Cmix1_Cjet0.8063,optimizer,2.500425739,15.0571,true,1.08246907,0.5811812529,1,0.8062754057
alpha1.0_Re2800_Csep1.0307_Cnw0.4719_Cmix0.6941_Cjet0.8641,optimizer,2.37334016,15.0396,true,1.030707059,0.4719180073,0.6941331378,0.8640811086
alpha1.0_Re2800_Csep1.729_Cnw-2_Cmix-0.2_Cjet0,optimizer,6.593926098,19.6864,true,1.728962529,-2,-0.2,0
alpha1.0_Re2800_Csep1.0429_Cnw0.4671_Cmix0.4487_Cjet0.829,optimizer,2.362143792,15.4409,true,1.042883327,0.4671043222,0.4486964154,0.8290194706
alpha1.0_Re2800_Csep0.7_Cnw0.0143_Cmix1_Cjet0,optimizer,2.873895765,13.9362,true,0.7,0.01429322556,1,0
alpha1.0_Re2800_Csep1.08_Cnw0.4696_Cmix0.6559_Cjet0.6833,optimizer,2.464055714,15.3059,true,1.080005622,0.4695703149,0.6559243248,0.6832857667
alpha1.0_Re2800_Csep1.1835_Cnw0.4306_Cmix0.5488_Cjet0,optimizer,2.772414911,15.4777,true,1.18350133,0.4305942399,0.5488088489,0
alpha1.0_Re2800_Csep1.0947_Cnw0.5027_Cmix1_Cjet0.4873,optimizer,2.564383368,15.1079,true,1.09474456,0.5027231174,1,0.4873160454
alpha1.0_Re2800_Csep0.7_Cnw0.0768_Cmix0.6234_Cjet0,optimizer,2.761765505,14.0277,true,0.7,0.07681976564,0.6234142387,0
alpha1.0_Re2800_Csep0.7_Cnw0.0755_Cmix0.244_Cjet1.2,optimizer,2.467802591,14.4847,true,0.7,0.07548286512,0.2439516846,1.2
alpha1.0_Re2800_Csep0.8538_Cnw0.6587_Cmix0.325_Cjet1.2,optimizer,2.251860102,15.4321,true,0.8537857915,0.6587349017,0.3249579797,1.2
alpha1.0_Re2800_Csep1.0171_Cnw0.5419_Cmix0.2441_Cjet1.2,optimizer,2.311373976,15.6444,true,1.017097119,0.541897204,0.2440815873,1.2
alpha1.0_Re2800_Csep0.9264_Cnw0.5092_Cmix0.3233_Cjet1.0379,optimizer,2.173579362,15.3401,true,0.9263717282,0.5091588595,0.3233420431,1.037936248
alpha1.0_Re2800_Csep0.9669_Cnw0.5456_Cmix0.2763_Cjet0.9643,optimizer,2.217471717,15.5506,true,0.9668508599,0.5455910094,0.2763263179,0.9643476839
alpha1.0_Re2800_Csep0.9811_Cnw0.6183_Cmix0.3518_Cjet1.0528,optimizer,2.27502473,15.5719,true,0.9810772467,0.6183212087,0.351839614,1.052808053
alpha1.0_Re2800_Csep0.8735_Cnw0.4167_Cmix0.3022_Cjet1.0444,optimizer,2.179279936,15.3662,true,0.873482625,0.4166534233,0.3021678573,1.044375378
alpha1.0_Re2800_Csep0.8998_Cnw0.4291_Cmix0.3439_Cjet0.983,optimizer,2.189626727,15.6850,true,0.8997551294,0.4291200834,0.3438729767,0.9830332055
alpha1.0_Re2800_Csep0.9494_Cnw0.3771_Cmix0.3097_Cjet1.0459,optimizer,2.267979066,15.3588,true,0.9493627562,0.3771107345,0.3096891721,1.045937569
alpha1.0_Re2800_Csep0.8713_Cnw0.5408_Cmix0.3126_Cjet1.0299,optimizer,2.151986509,15.4798,true,0.8712840188,0.5408265878,0.3125904132,1.029927811
alpha1.0_Re2800_Csep0.8553_Cnw0.5039_Cmix0.3338_Cjet1.0592,optimizer,2.144890417,15.3879,true,0.8552973166,0.5038677769,0.3337605263,1.059229063
alpha1.0_Re2800_Csep0.8494_Cnw0.5204_Cmix0.3024_Cjet1.0987,optimizer,2.155147193,15.3740,true,0.8493896534,0.5203847498,0.3023755623,1.0986847
alpha1.0_Re2800_Csep0.9175_Cnw0.5481_Cmix0.2452_Cjet0.7914,optimizer,2.208352196,15.5066,true,0.9174831917,0.5480741209,0.2451901055,0.7914218902
alpha1.0_Re2800_Csep0.8478_Cnw0.4089_Cmix0.312_Cjet1.2,optimizer,2.216403543,15.3518,true,0.8477797685,0.4088646091,0.3120075832,1.2
alpha1.0_Re2800_Csep1.3514_Cnw0.2531_Cmix1_Cjet0,optimizer,3.112827268,15.2464,true,1.351366744,0.2530898238,1,0
alpha1.0_Re2800_Csep0.8428_Cnw0.5528_Cmix0.2059_Cjet1.2,optimizer,2.173701519,15.8818,true,0.8428380642,0.5528019138,0.205874908,1.2
alpha1.0_Re2800_Csep0.9208_Cnw0.5451_Cmix0.0969_Cjet1.2,optimizer,2.180656635,16.2809,true,0.9208483648,0.5451016682,0.0969059453,1.2
alpha1.0_Re2800_Csep1.0369_Cnw0.3622_Cmix-0.2_Cjet1.2,optimizer,2.615910129,37.8597,true,1.036920207,0.3622145052,-0.2,1.2
alpha1.0_Re2800_Csep0.9334_Cnw0.7128_Cmix0.1279_Cjet1.2,optimizer,2.262797117,25.5761,true,0.9334017254,0.7128033628,0.1279458805,1.2
alpha1.0_Re2800_Csep0.8847_Cnw0.4232_Cmix0.1425_Cjet1.2,optimizer,2.185369005,25.4864,true,0.8847400506,0.4231754845,0.142531981,1.2
alpha1.0_Re2800_Csep0.8223_Cnw0.4756_Cmix0.0633_Cjet1.2,optimizer,2.130440955,25.7588,true,0.8222923254,0.4756388551,0.06332063006,1.2
alpha1.0_Re2800_Csep0.8185_Cnw0.4281_Cmix0.0218_Cjet1.2,optimizer,2.143280187,25.8515,true,0.8185447412,0.4281127918,0.0218037879,1.2
alpha1.0_Re2800_Csep0.9335_Cnw0.4893_Cmix0.2629_Cjet0.3687,optimizer,2.31833198,24.9340,true,0.933515831,0.4892778267,0.2628944311,0.3686665563
