run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cturb,geko_cjet
alpha1.0_Re2800_geko_default,baseline,1.851542879,49.5098,true,1.75,0.5,0,2,1
alpha1.0_Re2800_Csep1.3643_Cnw-1.8964_Cmix0.8086_Cjet0.7278_Cturb2.2738,optimizer,2.848622364,43.9015,true,1.364306727,-1.896435116,0.8086272794,2.273752653,0.7277817233
alpha1.0_Re2800_Csep2.2643_Cnw0.1036_Cmix0.2086_Cjet0.1278_Cturb1.2738,optimizer,1.905618186,43.3196,true,2.264306727,0.1035648836,0.2086272794,1.273752653,0.1277817233
alpha1.0_Re2800_Csep0.9143_Cnw-0.8964_Cmix0.5086_Cjet0.4278_Cturb0.7738,optimizer,1.494215277,38.3861,true,0.914306727,-0.8964351164,0.5086272794,0.773752653,0.4277817233
alpha1.0_Re2800_Csep1.8143_Cnw1.1036_Cmix-0.0914_Cjet1.0278_Cturb1.7738,optimizer,2.147315434,54.9975,true,1.814306727,1.103564884,-0.09137272064,1.773752653,1.027781723
alpha1.0_Re2800_Csep2.0393_Cnw-0.3964_Cmix0.3586_Cjet0.5778_Cturb0.5238,optimizer,1.403087792,40.9551,true,2.039306727,-0.3964351164,0.3586272794,0.523752653,0.5777817233
alpha1.0_Re2800_Csep1.1393_Cnw1.6036_Cmix0.9586_Cjet1.1778_Cturb1.5238,optimizer,1.291625498,42.0018,true,1.139306727,1.603564884,0.9586272794,1.523752653,1.177781723
alpha1.0_Re2800_Csep2.4893_Cnw-1.3964_Cmix0.0586_Cjet0.8778_Cturb1.0238,optimizer,2.476438553,45.7295,true,2.489306727,-1.396435116,0.05862727936,1.023752653,0.8777817233
alpha1.0_Re2800_Csep1.5893_Cnw0.6036_Cmix0.6586_Cjet0.2778_Cturb2.0238,optimizer,1.755150881,42.4056,true,1.589306727,0.6035648836,0.6586272794,2.023752653,0.2777817233
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix1_Cjet0_Cturb0.5,optimizer,3.329958855,37.4177,true,0.7,2,1,0.5,0
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix-0.2_Cjet0_Cturb0.5,optimizer,4.961155152,57.2237,true,0.7,-2,-0.2,0.5,0
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix1_Cjet1.2_Cturb0.5,optimizer,2.938307797,37.6665,true,2.5,2,1,0.5,1.2
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix1_Cjet1.2_Cturb0.5,optimizer,2.450772228,33.0663,true,0.7,-2,1,0.5,1.2
alpha1.0_Re2800_Csep1.0563_Cnw1.7392_Cmix0.9683_Cjet1.2_Cturb1.5946,optimizer,1.32427546,41.9140,true,1.056340249,1.73920675,0.9683474648,1.594595008,1.2
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix1_Cjet0_Cturb2.5,optimizer,3.158276213,43.9194,true,2.5,2,1,2.5,0
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix-0.2_Cjet0_Cturb2.5,optimizer,2.169661426,50.0288,true,0.7,2,-0.2,2.5,0
alpha1.0_Re2800_Csep2.5_Cnw-2_Cmix1_Cjet0_Cturb0.5,optimizer,2.753474053,35.1424,true,2.5,-2,1,0.5,0
alpha1.0_Re2800_Csep1.2196_Cnw-0.158_Cmix0.5422_Cjet0.6021_Cturb0.7975,optimizer,1.282805847,42.2390,true,1.219586063,-0.1579669623,0.5421876829,0.7975425325,0.6021011144
alpha1.0_Re2800_Csep1.1524_Cnw1.3558_Cmix0.8905_Cjet1.17_Cturb1.4343,optimizer,1.237141749,40.4745,true,1.152351111,1.355801025,0.8904637139,1.434335949,1.169962918
alpha1.0_Re2800_Csep1.1172_Cnw1.2363_Cmix0.8384_Cjet1.174_Cturb1.3975,optimizer,1.209516257,41.3313,true,1.11715969,1.236348593,0.8384443989,1.397451129,1.173951809
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix-0.2_Cjet1.2_Cturb0.5,optimizer,3.587635825,56.1291,true,0.7,2,-0.2,0.5,1.2
alpha1.0_Re2800_Csep1.0814_Cnw1.0783_Cmix0.7961_Cjet1.1675_Cturb1.3921,optimizer,1.181046044,41.1567,true,1.081403179,1.078308229,0.7961065004,1.39206526,1.167511109
alpha1.0_Re2800_Csep1.0617_Cnw0.9243_Cmix0.7783_Cjet1.1512_Cturb1.4188,optimizer,1.152663779,40.7693,true,1.061662768,0.9243492733,0.7782519765,1.418780147,1.151179524
alpha1.0_Re2800_Csep1.052_Cnw0.7954_Cmix0.7735_Cjet1.1317_Cturb1.4564,optimizer,1.13040908,41.0765,true,1.051971167,0.7953872677,0.7735299813,1.45638749,1.131747973
alpha1.0_Re2800_Csep1.0464_Cnw0.6673_Cmix0.7754_Cjet1.1047_Cturb1.5076,optimizer,1.112256129,41.1422,true,1.046402322,0.6673461985,0.7753785946,1.507594316,1.104733725
alpha1.0_Re2800_Csep1.0367_Cnw0.61_Cmix0.7744_Cjet1.0349_Cturb1.5734,optimizer,1.104029521,42.0208,true,1.036732901,0.6100183562,0.7744305597,1.573390969,1.034851794
alpha1.0_Re2800_Csep1.0851_Cnw0.7072_Cmix0.7561_Cjet1.0936_Cturb1.6611,optimizer,1.157699881,41.9593,true,1.085115215,0.7071946168,0.7561378224,1.661079116,1.093589579
alpha1.0_Re2800_Csep1.0091_Cnw0.5424_Cmix0.7915_Cjet1.0227_Cturb1.5008,optimizer,1.082284121,41.6693,true,1.009063979,0.542446111,0.791528939,1.500837023,1.022684793
