iteration,point,cost,best_point,best_cost
0,"(1.500000, 0.500000)",0.200000,"(1.500000, 0.500000)",0.200000
1,"(2.000000, 0.500000)",0.300000,"(1.500000, 0.500000)",0.200000
2,"(1.750000, 0.600000)",0.212500,"(1.500000, 0.500000)",0.200000
3,"(1.918280, -0.924968)",2.018303,"(1.500000, 0.500000)",0.200000
4,"(0.825088, -0.330368)",1.576539,"(1.500000, 0.500000)",0.200000
5,"(2.209414, 1.030098)",0.899670,"(1.500000, 0.500000)",0.200000
6,"(2.676539, -0.739184)",2.351350,"(1.500000, 0.500000)",0.200000
7,"(1.265765, -0.910608)",2.239974,"(1.500000, 0.500000)",0.200000
8,"(1.504967, 0.498617)",0.198397,"(1.504967, 0.498617)",0.198397
9,"(1.511444, 0.513848)",0.198306,"(1.511444, 0.513848)",0.198306
10,"(1.509102, 0.511506)",0.198656,"(1.511444, 0.513848)",0.198306
11,"(1.527236, 0.521522)",0.195304,"(1.527236, 0.521522)",0.195304
12,"(1.522541, 0.526948)",0.197288,"(1.527236, 0.521522)",0.195304
13,"(1.522602, 0.516865)",0.195777,"(1.527236, 0.521522)",0.195304
14,"(1.529656, 0.502389)",0.192242,"(1.529656, 0.502389)",0.192242
15,"(1.512407, 0.496766)",0.196111,"(1.529656, 0.502389)",0.192242
16,"(1.519527, 0.505532)",0.195128,"(1.529656, 0.502389)",0.192242
17,"(1.520576, 0.488266)",0.193167,"(1.529656, 0.502389)",0.192242
18,"(1.544312, 0.500131)",0.188684,"(1.544312, 0.500131)",0.188684
19,"(1.544988, 0.485884)",0.187188,"(1.544988, 0.485884)",0.187188
